timestamp,message
1776823896980,"{""time"":""2026-04-22T02:11:36.980Z"",""type"":""platform.initStart"",""record"":{""initializationType"":""on-demand"",""phase"":""init"",""runtimeVersion"":""python:3.14.DurableFunction.v13"",""runtimeVersionArn"":""arn:aws:lambda:us-east-2::runtime:6a18f8e2e69c0be566b1a6e42d8d759c7f0f0b21acdc9f45bb7c2c527a8ea13a"",""functionName"":""fase1-counter-durable"",""functionVersion"":""$LATEST""}}"
1776823897483,"{""timestamp"": ""2026-04-22T02:11:37Z"", ""level"": ""INFO"", ""message"": ""Found credentials in environment variables."", ""logger"": ""botocore.credentials"", ""requestId"": """"}
"
1776823897579,"{""time"":""2026-04-22T02:11:37.579Z"",""type"":""platform.start"",""record"":{""requestId"":""119ccfdb-7c93-4e09-b58c-e61184c58ae9"",""functionArn"":""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST"",""version"":""$LATEST""}}"
1776823897814,"{""timestamp"": ""2026-04-22T02:11:37Z"", ""level"": ""INFO"", ""message"": ""Received event={'test_case': 'counter_replay_observation_001', 'description': '1.2 Replay observation', 'state': {'value': 0, 'version': 0}, 'operation': 'increment', 'amount': 1, 'fail_mode': 'none', 'debug_sleep_seconds': 70}"", ""logger"": ""root"", ""requestId"": ""119ccfdb-7c93-4e09-b58c-e61184c58ae9"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/124cd528-2695-4b77-bb92-c9653bd37819/6bde9c05-c7fe-3e93-abfd-bc701f523773""}
"
1776823897814,"{""timestamp"": ""2026-04-22T02:11:37Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""invocation_attempt\"", \""test_case\"": \""counter_replay_observation_001\"", \""invocation_count\"": 1, \""seconds_since_module_load\"": 0.237, \""is_likely_replay\"": false}"", ""logger"": ""root"", ""requestId"": ""119ccfdb-7c93-4e09-b58c-e61184c58ae9"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/124cd528-2695-4b77-bb92-c9653bd37819/6bde9c05-c7fe-3e93-abfd-bc701f523773""}
"
1776823897814,"{""timestamp"": ""2026-04-22T02:11:37Z"", ""level"": ""INFO"", ""message"": ""Initializing counter state"", ""logger"": ""root"", ""requestId"": ""119ccfdb-7c93-4e09-b58c-e61184c58ae9"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/124cd528-2695-4b77-bb92-c9653bd37819/6bde9c05-c7fe-3e93-abfd-bc701f523773"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776823897833,"{""timestamp"": ""2026-04-22T02:11:37Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_invocation\"", \""test_case\"": \""counter_replay_observation_001\"", \""step\"": \""initialize_counter\"", \""wall_time\"": 1776823897.833605}"", ""logger"": ""root"", ""requestId"": ""119ccfdb-7c93-4e09-b58c-e61184c58ae9"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/124cd528-2695-4b77-bb92-c9653bd37819/6bde9c05-c7fe-3e93-abfd-bc701f523773"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776823897833,"{""timestamp"": ""2026-04-22T02:11:37Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_duration\"", \""test_case\"": \""counter_replay_observation_001\"", \""step\"": \""initialize_counter\"", \""duration_ms\"": 19.242, \""status\"": \""success\""}"", ""logger"": ""root"", ""requestId"": ""119ccfdb-7c93-4e09-b58c-e61184c58ae9"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/124cd528-2695-4b77-bb92-c9653bd37819/6bde9c05-c7fe-3e93-abfd-bc701f523773"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776823898252,"{""timestamp"": ""2026-04-22T02:11:38Z"", ""level"": ""INFO"", ""message"": ""Applying operation=increment, amount=1, fail_mode=none, current_state={'value': 0, 'version': 0}, failure_key=None"", ""logger"": ""root"", ""requestId"": ""119ccfdb-7c93-4e09-b58c-e61184c58ae9"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/124cd528-2695-4b77-bb92-c9653bd37819/6bde9c05-c7fe-3e93-abfd-bc701f523773"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
1776823898252,"{""timestamp"": ""2026-04-22T02:11:38Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_invocation\"", \""test_case\"": \""counter_replay_observation_001\"", \""step\"": \""apply_counter_operation\"", \""operation\"": \""increment\"", \""fail_mode\"": \""none\"", \""wall_time\"": 1776823898.2524126}"", ""logger"": ""root"", ""requestId"": ""119ccfdb-7c93-4e09-b58c-e61184c58ae9"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/124cd528-2695-4b77-bb92-c9653bd37819/6bde9c05-c7fe-3e93-abfd-bc701f523773"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
